"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"H2-D1",1.08099346008275e-12,0.604081615884835,0.994,1,2.00232418611128e-08
"Gm11361",6.23610395431353e-12,3.19043065687695,0.368,0.04,1.15511353545749e-07
"Zc2hc1a",2.77264094378506e-11,1.342433750322,0.055,0.008,5.13576282017307e-07
"Gm10260",1.84637585224849e-10,4.81492152178475,0.209,0,3.42004199111988e-06
"Gtpbp8",4.06038305375587e-10,1.19043065687695,0.049,0.008,7.52104753047199e-06
"Lcmt2",5.85015392974228e-09,1.02050565543464,0.043,0.008,0.000108362401240616
"Rpl13a",9.24368122496878e-08,-0.536178716379529,0.963,1,0.00171220707330097
"H2-Q6",1.14909673342849e-07,-1.23030244806589,0.387,0.669,0.0021284718793296
"H2-Q7",1.29680383880726e-07,-0.632031157570859,0.969,0.96,0.00240206975062269
"Pfkp",6.88751695774242e-07,-1.08258783752946,0.509,0.669,0.0127577476608263
"Tlr4",1.13771975646134e-06,0.605468156155798,0.031,0.008,0.0210739830489334
"Rps27l",4.79685582840831e-06,0.893044746252383,0.742,0.565,0.0888521605096071
"Atp5j2",5.03174513261564e-06,0.605468156155798,0.847,0.758,0.0932030150914396
"Ppic",6.22502324801755e-06,0.38307573481935,0.135,0.032,0.115306105623029
"Arhgef10l",6.68712577373452e-06,-1.13149743801041,0.006,0.032,0.123865630706884
"Ubb",8.04515458353972e-06,-0.469229211121803,0.988,0.984,0.149020398350906
"mt-Co3",1.36958779581963e-05,-0.525252282030625,0.982,0.992,0.253688747419669
"Clec4d",1.51450657070703e-05,0.342433750322003,0.025,0.008,0.280532052092064
"Cabcoco1",1.51450657070704e-05,0.342433750322003,0.025,0.008,0.280532052092065
"Gm36723",1.8124482554139e-05,-1.16375163701504,0.368,0.556,0.335719790350317
"Amer1",2.29755408286121e-05,-0.394531843844202,0.018,0.008,0.425575942768381
"Crip1",3.88176192943496e-05,0.674607856389258,0.963,0.952,0.719018762189238
"H2-T22",6.59791232328759e-05,-0.92775076947136,0.515,0.677,1
"Eno1",6.83880482869362e-05,-0.991466986231435,0.337,0.581,1
"Trmt112",8.94274301394749e-05,0.870812722676793,0.583,0.331,1
"BC023719",8.95745487430713e-05,3.51235875176432,0.086,0,1
"Gm8909",8.95745487430874e-05,3.51235875176432,0.086,0,1
"Snrpg",0.000107611774170751,0.417080912216558,0.939,0.895,1
"Rpl36",0.000108186862426738,0.441348776394691,0.982,0.96,1
"Hp",0.000111986649873868,-0.809569343123046,0.006,0.024,1
"Hmgn3",0.000139213307905538,-1.13149743801041,0.012,0.016,1
"Grk3",0.000139213307905552,0.342433750322004,0.012,0.016,1
"Snrpf",0.000152235937980873,0.505604261686419,0.84,0.782,1
