"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Dtd1",8.37910804971278e-16,0.950650083617302,0.049,0.011,1.5520621840483e-11
"H2-D1",1.44964647212491e-13,0.588415884236825,1,0.995,2.68518016031697e-09
"R3hcc1",3.49043603595174e-10,1.27257817850466,0.035,0.005,6.4653346693934e-06
"Gm11361",5.46273541331068e-10,3.74650936683708,0.195,0.011,1.01186248060754e-05
"Bcl2a1d",6.7631077971274e-10,-1.09580922747536,0.487,0.676,1.25273045726191e-05
"Ramp1",5.13379523511695e-09,1.10265317706235,0.031,0.005,9.50932891400713e-05
"Abhd11",7.40720295347803e-08,0.910008099119956,0.027,0.005,0.00137203620307274
"H2-Q6",1.14445221814392e-07,-0.753894032856526,0.633,0.742,0.00211986884366799
"H2-T22",1.38713246687684e-07,-1.02535443531372,0.296,0.566,0.00256938546839598
"Eno1",1.41483077372762e-07,-1.71093369870677,0.133,0.346,0.00262069104217567
"Gm10260",1.9373583570739e-07,4.27257817850466,0.102,0,0.00358856888480798
"Slc24a3",4.39580610580581e-07,-1.31238432221649,0.004,0.027,0.00814235164978411
"Clca3a1",7.17147299769925e-07,4.27257817850466,0.093,0,0.0132837194336383
"Treml4",1.04271577687934e-06,0.687615677783508,0.022,0.005,0.0193142243351361
"Trim69",3.51742883251902e-06,-0.897346822937648,0.013,0.005,0.0651533342647497
"H2-Q7",4.53580960079554e-06,-0.615453389852538,0.889,0.934,0.0840168012355358
"Rgs7bp",1.41996020433293e-05,0.424581271949714,0.018,0.005,0.263019228648589
"Trf",2.2050103802321e-05,-0.312384322216491,0.013,0.005,0.408434072730392
"Mmp7",2.20501038023243e-05,-0.312384322216491,0.013,0.005,0.408434072730453
"Ucp2",2.68337821804753e-05,0.872894926102857,0.752,0.643,0.497042147328944
"Tmem131",3.28236883969373e-05,-0.564626671299499,0.752,0.896,0.60799318017647
"Pdk4",3.52091666127473e-05,5.04516768240159,0.066,0,0.652179393167919
"Sdhb",3.8581486598453e-05,1.42458127194971,0.274,0.11,0.714644876263144
"Gtf2a1",4.70091863917415e-05,0.839618771228559,0.571,0.357,0.870751159534228
"Mlx",4.87143016154774e-05,0.813146559867367,0.102,0.038,0.902335008823487
"Rsrp1",4.8796858375209e-05,-0.646041709685961,0.544,0.725,0.903864207683996
"Plin2",5.27266949143529e-05,1.47002424271088,0.341,0.181,0.976656569898559
"Ubb",5.32833203011265e-05,-0.438055482878991,0.956,0.973,0.986966941937767
"Cenpa",9.66553186225073e-05,-0.927720471981166,0.102,0.253,1
"Slc49a4",0.000114214110100629,-1.11683351309868,0.261,0.418,1
"Neb",0.000120484789795926,-0.727421821495335,0.004,0.016,1
"Gm8909",0.000127993547280858,3.49497059984111,0.058,0,1
"Dscam",0.000130419226689231,1.9529602443045,0.199,0.06,1
"Btg1",0.000141151075755553,0.383505328946799,0.973,0.973,1
"Cbfa2t3",0.000165427398547438,0.648823194786449,0.695,0.527,1
"Il12rb2",0.000168626637942816,-1.32343951072549,0.212,0.275,1
"Atp5e",0.000179142604198409,0.466147764675359,0.854,0.725,1
"Spata32",0.000184387010748652,0.102653177062352,0.013,0.005,1
"Gm13571",0.000184387010748675,0.102653177062352,0.013,0.005,1
"Flt1",0.000184387010748686,0.102653177062352,0.013,0.005,1
"Klrg1",0.000184387010748699,0.102653177062352,0.013,0.005,1
