"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"H2-Eb1",1.34754872610991e-22,-0.933267534891625,1,1,2.49606450537339e-18
"mt-Co3",8.61967866899212e-16,-0.577802583589162,0.99,1,1.59662307985741e-11
"H2-D1",1.21408389646313e-15,0.785738121899665,0.99,0.978,2.24884760141866e-11
"Gm11361",6.02211612363922e-11,3.62449086490779,0.294,0.022,1.11547656958169e-06
"Gm10260",3.58308465367704e-10,4.50281230831954,0.225,0.005,6.63694770400598e-06
"Rpl10",1.08250175065854e-09,-0.53142727854064,0.971,0.989,2.00511799274482e-05
"Slc2a3",3.40007384534352e-09,0.373529291374575,0.02,0.032,6.2979567837298e-05
"Rps18",1.04980992144207e-07,-0.44411294909123,1,1,0.00194456291748714
"Irf4",1.45721394906117e-07,-0.363436302791631,0.01,0.032,0.00269919739784601
"Slc16a10",1.45920329371564e-07,1.12199052437861,0.01,0.022,0.00270288226094948
"Ubb",1.5223684155051e-07,-0.58364612909623,0.98,0.989,0.00281988301604009
"9830107B12Rik",3.12241575634522e-07,4.02888111998713,0.167,0.005,0.00578365070547825
"Zfp382",1.44817972808477e-06,0.537028023657455,0.01,0.022,0.0268246331033142
"mt-Co1",1.73464517901814e-06,-0.312447811823409,0.99,1,0.032130832650953
"Gskip",2.46028255438477e-06,-0.804008894177612,0.029,0.097,0.0455718137548691
"Hspa1b",3.56249728386236e-06,-0.935079661115289,0.588,0.805,0.0659881371889826
"Hspbp1",7.38173958079081e-06,2.29191552582092,0.245,0.049,0.136731962254988
"Itgb3bp",2.06267646441585e-05,0.121990524378611,0.01,0.022,0.382069561503748
"Mefv",2.06267646441601e-05,0.121990524378611,0.01,0.022,0.382069561503778
"Klra7",2.75490815366072e-05,0.858956118544817,0.01,0.016,0.510291637302575
"mt-Nd1",3.22887914439002e-05,-0.419345043942288,0.961,0.919,0.598085283915363
"Hspa1a",3.28025154912642e-05,-0.773807102978042,0.706,0.881,0.607600994444686
"Klri1",3.42925604738924e-05,2.04338068968224,0.216,0.043,0.63520109765791
"Rpl39",5.03212935877128e-05,0.35246440427734,1,0.995,0.932101321125204
"Rpl36",0.000143393902282807,0.379295754373745,0.99,1,1
"Cox17",0.000150710395308139,0.888102464204333,0.618,0.395,1
"Poc1b",0.000228363993756377,-3.22850672270552,0,0.086,1
"Ddb2",0.000230370470767227,0.443918619265973,0.01,0.016,1
"Atp5md",0.000232687392724774,0.712566631563293,0.706,0.481,1
"Arpc4",0.000279599712536294,0.643567084946131,0.765,0.568,1
"Tomm7",0.000299523979738108,0.60485483748103,0.784,0.632,1
"Dcstamp",0.000301410551997935,1.85895611854482,0.059,0.005,1
"Sp140",0.000307185437553125,0.321928094887362,0.529,0.595,1
"Emp1",0.000307406366719924,-2.06160941396078,0.069,0.249,1
"Arsb",0.000324908576995381,-1.11440875495172,0.324,0.492,1
"Neat1",0.000327237889486003,-0.734671243303467,0.608,0.805,1
"Tab3",0.000374260356638701,-3.14104388145518,0,0.081,1
"Cdk8",0.000392075103295038,-1.26205928241655,0.186,0.373,1
"Tomm6",0.000414109017230225,0.456857674973471,0.51,0.503,1
"Pttg1",0.000468053751752108,-0.526697573952933,0.196,0.362,1
"Mtmr3",0.000502518618727277,-0.973316435717117,0.333,0.541,1
"Cd226",0.000524506378922405,-1.00611430136907,0.333,0.562,1
"Rpl37",0.000603660972416952,0.325686852005153,0.99,1,1
"Rpl41",0.000680661920915368,0.332596034064673,1,1,1
"Rnasek",0.000685348486000965,0.760552414483822,0.627,0.432,1
"Ppp4r1",0.000835929597153053,-1.18543800081364,0.059,0.173,1
"Ddx3y",0.000854748360089986,2.97443333596475,0.108,0.011,1
"Rpl37a",0.000881852198390062,0.298851801439569,0.99,0.984,1
"Atox1",0.000899530921373059,0.317313281808027,0.99,1,1
"Tcf19",0.000971657023774631,1.99645964229475,0.098,0.016,1
"Gpr82",0.0010031338432748,-3.0479344770637,0,0.07,1
"Dmap1",0.0010031338432751,-2.94839880351279,0,0.07,1
"Polr2l",0.00108003418542019,0.971430847803229,0.363,0.173,1
"Uba52",0.00128589805080068,1.02888111998713,0.402,0.205,1
"Lnx2",0.0013903446886154,1.51606840502181,0.275,0.108,1
"Trp53bp1",0.00148404352390776,-2.09524019184206,0.029,0.157,1
"Wdfy1",0.00151531662769004,-0.446852310979269,0.245,0.411,1
"Tubd1",0.00164136299057033,-2.84148359959628,0,0.065,1
"Cenpp",0.00164136299057102,-3.38897139489877,0,0.065,1
"Rftn1",0.00166806891430903,1.17542978334007,0.324,0.249,1
"Ap1g1",0.00166937173943777,-1.07065455356379,0.186,0.378,1
"Zfp266",0.00169680805428178,-0.462971976342546,0.049,0.103,1
"Fam114a1",0.00172943003111884,-1.53336130423394,0.02,0.103,1
"Phc3",0.00185095749534514,-1.09524019184206,0.059,0.162,1
"Magi3",0.00197545028874525,-2.46297197634255,0.02,0.13,1
"Nsd2",0.00199924285071062,-1.6149750697876,0.078,0.227,1
"H2-Eb2",0.00207579513403063,3.44391861926597,0.049,0,1
"C030005K06Rik",0.00207579513403072,4.02888111998713,0.049,0,1
"Ccl22",0.00207579513403074,4.02888111998713,0.049,0,1
"Chek2",0.00207579513403084,3.44391861926597,0.049,0,1
"Clca3a1",0.00207579513403099,3.44391861926597,0.049,0,1
